feature_name,source_factor,source_factor_id,transformation,category,economic_meaning,available_date,missing_rate,usage_type,classification,correlation_cluster
tsmom_120__cs_robust_z,时间序列动量,1,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,价格冲击与机构调仓可能形成中期延续,因子日T收盘后形成，T+1开盘可用,0.052042587363676396,predictor,B,32.0
tsmom_120__missing,时间序列动量,1,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,32.0
csmom_120__cs_robust_z,横截面动量,2,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,过去相对强势品种可能继续跑赢弱势品种,因子日T收盘后形成，T+1开盘可用,0.04662850037561848,predictor,B,32.0
csmom_120__missing,横截面动量,2,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,32.0
trend_efficiency_120__cs_robust_z,趋势效率,3,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,区分平滑趋势与高噪声路径,因子日T收盘后形成，T+1开盘可用,0.052042587363676396,conditional,C,9.0
trend_efficiency_120__missing,趋势效率,3,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,C,9.0
vol_managed_momentum_120__cs_robust_z,波动率管理动量,42,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,趋势与动量,按波动缩放可稳定不同品种风险预算,因子日T收盘后形成，T+1开盘可用,0.052042587363676396,risk,D,39.0
vol_managed_momentum_120__missing,波动率管理动量,42,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,39.0
carry__cs_robust_z,Carry,5,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,期限结构与Carry,期限结构反映便利收益、库存压力与持有补偿,因子日T收盘后形成，T+1开盘可用,0.008302463539103178,predictor,A,19.0
curve_curvature__cs_robust_z,期限结构曲率,10,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,期限结构与Carry,曲线中部异常可能反映局部供需与换月压力,因子日T收盘后形成，T+1开盘可用,0.015102453177214207,predictor,B,20.0
curve_curvature__missing,期限结构曲率,10,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,20.0
term_structure_slope__cs_robust_z,期限结构斜率,44,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,期限结构与Carry,整条曲线斜率比两点Carry更稳健,因子日T收盘后形成，T+1开盘可用,0.008302463539103178,predictor,A,27.0
term_structure_momentum_5__cs_robust_z,期限结构动量,45,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,期限结构与Carry,曲线持续收紧可能代表供需冲击延续,因子日T收盘后形成，T+1开盘可用,0.011773696344843664,predictor,B,23.0
term_structure_momentum_5__missing,期限结构动量,45,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,23.0
term_structure_acceleration_5__cs_robust_z,期限结构加速度,46,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,期限结构与Carry,曲线收紧速度变化刻画供需冲击二阶变化,因子日T收盘后形成，T+1开盘可用,0.014415978032795379,predictor,B,24.0
term_structure_acceleration_5__missing,期限结构加速度,46,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,24.0
carry_change_20__cs_robust_z,Carry变化,6,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,期限结构与Carry,期限结构边际收紧可能先于价格调整,因子日T收盘后形成，T+1开盘可用,0.017835401393674066,predictor,B,17.0
carry_change_20__missing,Carry变化,6,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,17.0
basis_momentum_20__cs_robust_z,基差动量,9,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,期限结构与Carry,近月相对远月走强刻画曲线动态收紧,因子日T收盘后形成，T+1开盘可用,0.017835401393674066,predictor,B,17.0
basis_momentum_20__missing,基差动量,9,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,17.0
carry_change_60__cs_robust_z,Carry变化,6,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,期限结构与Carry,期限结构边际收紧可能先于价格调整,因子日T收盘后形成，T+1开盘可用,0.033533663186798957,predictor,B,18.0
carry_change_60__missing,Carry变化,6,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,18.0
reversal_5__cs_robust_z,短期反转,12,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,价值与均值回复,短期流动性冲击与过度反应可能反向修复,因子日T收盘后形成，T+1开盘可用,0.0019428541823174365,predictor,B,40.0
oi_growth_5__cs_robust_z,持仓量增长,18,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,交易行为与资金流,新增持仓刻画资金进入与风险承担,因子日T收盘后形成，T+1开盘可用,0.007059036862420019,predictor,B,4.0
volume_shock_20__cs_robust_z,成交量冲击,21,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,交易行为与资金流,异常成交代表关注、信息或流动性冲击,因子日T收盘后形成，T+1开盘可用,0.00858741548584307,conditional,C,2.0
oi_surprise_20__cs_robust_z,持仓意外,52,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,交易行为与资金流,异常持仓变化刻画非正常资金进入或退出,因子日T收盘后形成，T+1开盘可用,0.009882651607388026,predictor,B,1.0
volume_shock_60__cs_robust_z,成交量冲击,21,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,交易行为与资金流,异常成交代表关注、信息或流动性冲击,因子日T收盘后形成，T+1开盘可用,0.016604927078206357,conditional,C,3.0
volume_shock_60__missing,成交量冲击,21,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,C,3.0
oi_surprise_60__cs_robust_z,持仓意外,52,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,交易行为与资金流,异常持仓变化刻画非正常资金进入或退出,因子日T收盘后形成，T+1开盘可用,0.01773178250395047,predictor,B,1.0
oi_surprise_60__missing,持仓意外,52,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,1.0
amihud_20__cs_robust_z,Amihud非流动性,22,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,交易行为与资金流,单位成交额价格冲击刻画流动性风险,因子日T收盘后形成，T+1开盘可用,0.009688366189156283,risk,D,14.0
volume_oi_turnover__cs_robust_z,成交量—持仓量换手率,23,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,交易行为与资金流,交易活跃度相对存量持仓刻画换手与拥挤,因子日T收盘后形成，T+1开盘可用,0.004170660311374763,conditional,C,13.0
low_vol_20__cs_robust_z,低波动,25,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,波动率与风险,低波动特征用于防御暴露与风险控制,因子日T收盘后形成，T+1开盘可用,0.009688366189156283,risk,D,11.0
low_vol_60__cs_robust_z,低波动,25,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,波动率与风险,低波动特征用于防御暴露与风险控制,因子日T收盘后形成，T+1开盘可用,0.017654068336657773,risk,D,11.0
low_vol_60__missing,低波动,25,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,11.0
realized_skew_60__cs_robust_z,已实现偏度,26,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,波动率与风险,收益不对称刻画尾部风险与彩票偏好,因子日T收盘后形成，T+1开盘可用,0.017654068336657773,risk,D,25.0
realized_skew_60__missing,已实现偏度,26,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,25.0
realized_skew_120__cs_robust_z,已实现偏度,26,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,波动率与风险,收益不对称刻画尾部风险与彩票偏好,因子日T收盘后形成，T+1开盘可用,0.028909670232883454,risk,D,26.0
realized_skew_120__missing,已实现偏度,26,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,26.0
seasonality_3y_month__cs_robust_z,季节性,27,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,价值与均值回复,生产消费季节周期可能形成重复价格模式,因子日T收盘后形成，T+1开盘可用,0.2837085200632075,predictor,B,15.0
seasonality_3y_month__missing,季节性,27,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,15.0
idiosyncratic_vol_60__cs_robust_z,特质波动,43,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,波动率与风险,剔除共同冲击后的剩余风险刻画品种特异性,因子日T收盘后形成，T+1开盘可用,0.017654068336657773,risk,D,12.0
idiosyncratic_vol_60__missing,特质波动,43,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,12.0
correlation_risk_20_120__cs_robust_z,相关性风险,57,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,波动率与风险,相关性突然上升刻画系统性风险暴露,因子日T收盘后形成，T+1开盘可用,0.030399191772660157,risk,D,42.0
correlation_risk_20_120__missing,相关性风险,57,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,D,42.0
volume_price_divergence_20__cs_robust_z,量价背离,53,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,交易行为与资金流,价格趋势缺少成交确认可能较脆弱,因子日T收盘后形成，T+1开盘可用,0.03735460974535658,conditional,C,31.0
volume_price_divergence_20__missing,量价背离,53,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,C,31.0
interaction__tsmom_20__oi_surprise_20__cs_robust_z,因子交互,54,同日横截面中位数/MAD去极值(5.0)并标准化；缺失填0；模型折内再次仅用训练期缩放,非线性交互,经济相关因子同时出现时可能产生非加性信息,因子日T收盘后形成，T+1开盘可用,0.014208740253348185,predictor,B,6.0
interaction__tsmom_20__oi_surprise_20__missing,因子交互,54,原始特征缺失指示器,数据质量标签,区分真实中性值与数据缺失造成的零填充,与源因子同步,0.0,quality_flag,B,6.0
orth__realized_vol_60__vs__low_vol_20,已实现波动率,24,同日横截面对簇代表low_vol_20回归后的残差,波动率与风险,保留realized_vol_60相对高相关代表因子的增量部分,因子日T收盘后形成，T+1开盘可用,0.0033676139160168897,orthogonalized_predictor,D,11.0
orth__tsmom_120__vs__csmom_120,时间序列动量,1,同日横截面对簇代表csmom_120回归后的残差,趋势与动量,保留tsmom_120相对高相关代表因子的增量部分,因子日T收盘后形成，T+1开盘可用,0.04126622283242235,orthogonalized_predictor,B,32.0
orth__basis_momentum_20__vs__carry_change_20,基差动量,9,同日横截面对簇代表carry_change_20回归后的残差,期限结构与Carry,保留basis_momentum_20相对高相关代表因子的增量部分,因子日T收盘后形成，T+1开盘可用,0.006735227832033779,orthogonalized_predictor,B,17.0
orth__oi_surprise_20__vs__oi_surprise_60,持仓意外,52,同日横截面对簇代表oi_surprise_60回归后的残差,交易行为与资金流,保留oi_surprise_20相对高相关代表因子的增量部分,因子日T收盘后形成，T+1开盘可用,0.010439603139652358,orthogonalized_predictor,B,1.0
orth__low_vol_60__vs__low_vol_20,低波动,25,同日横截面对簇代表low_vol_20回归后的残差,波动率与风险,保留low_vol_60相对高相关代表因子的增量部分,因子日T收盘后形成，T+1开盘可用,0.0033676139160168897,orthogonalized_predictor,D,11.0
feature_available_count,全体入选因子,0,逐行统计原始可用特征数,数据质量标签,刻画该品种日在模型输入端的信息完整度,与源因子同步,0.0,quality_flag,C,
