feature_name,factor_no,source_factor,transformation,category,protocol_role,economic_meaning,available_date,missing_rate,usage_type,is_interaction,is_missing_indicator,recommended_default,point_in_time_safe,frequency,correlation_cluster,cluster_representative,retained_despite_correlation,selection_uses_target,orthogonalization_policy
term_structure_slope__missing,44,term_structure_slope,raw_missing_indicator,data_quality,extension,期限结构斜率原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,16,curve_curvature__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
term_structure_momentum__csz,45,term_structure_momentum,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,term_structure,core,整条期限结构斜率的二十日变化,2015-02-02,0.2662873118522493,predictor,False,False,True,True,daily_product_panel,55,term_structure_momentum__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
term_structure_momentum__missing,45,term_structure_momentum,raw_missing_indicator,data_quality,extension,期限结构动量原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,56,term_structure_momentum__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
term_structure_acceleration__csz,46,term_structure_acceleration,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,term_structure,core,整条期限结构二十日变化的再二十日变化,2015-03-09,0.3234729321397306,predictor,False,False,True,True,daily_product_panel,57,term_structure_acceleration__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
term_structure_acceleration__missing,46,term_structure_acceleration,raw_missing_indicator,data_quality,extension,期限结构加速度原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,58,term_structure_acceleration__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
basis_surprise__csz,47,basis_surprise,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,basis_spot,extension,基差相对历史条件预期的标准化意外,2015-02-03,0.20430092344186834,predictor,False,False,True,True,daily_product_panel,59,basis_surprise__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
basis_surprise__missing,47,basis_surprise,raw_missing_indicator,data_quality,extension,基差意外原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,12,basis_fresh__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
inventory_acceleration__csz,48,inventory_acceleration,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,inventory_fundamental,extension,去库存速度的二阶变化,2015-01-26,0.6621671232103019,predictor,False,False,True,True,daily_product_panel,60,inventory_acceleration__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
inventory_acceleration__missing,48,inventory_acceleration,raw_missing_indicator,data_quality,extension,库存加速度原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,23,inventory_change_5__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
inventory_price_divergence__csz,49,inventory_price_divergence,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,information_news,extension,库存趋紧相对同期价格变化的未反映部分,2015-02-02,0.6650475840840417,predictor,False,False,True,True,daily_product_panel,22,inventory_change_5__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
inventory_price_divergence__missing,49,inventory_price_divergence,raw_missing_indicator,data_quality,extension,库存—价格背离原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,23,inventory_change_5__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
oi_surprise_60__csz,52,oi_surprise_60,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trading_liquidity,core,持仓变化相对历史条件预期的异常,2015-02-03,0.01441642427494283,conditional,False,False,True,True,daily_product_panel,61,oi_surprise_60__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
oi_surprise_60__missing,52,oi_surprise_60,raw_missing_indicator,data_quality,extension,持仓意外因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,31,oi_growth_20__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
volume_price_divergence_20__csz,53,volume_price_divergence_20,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,trading_liquidity,core,价格趋势与成交量变化不一致程度,2015-02-02,0.02360848323967124,predictor,False,False,True,True,daily_product_panel,62,volume_price_divergence_20__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
volume_price_divergence_20__missing,53,volume_price_divergence_20,raw_missing_indicator,data_quality,extension,量价背离因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,33,price_oi_interaction_20__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
momentum_carry_interaction__csz,54,momentum_carry_interaction,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,factor_interaction,extension,动量和Carry同时确认的非加性信息,2015-04-07,0.050111547259326206,predictor,True,False,True,True,daily_product_panel,63,momentum_carry_interaction__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
momentum_carry_interaction__missing,54,momentum_carry_interaction,raw_missing_indicator,data_quality,extension,因子交互因子原始值不可用标记,2015-01-05,0.0,quality_flag,False,True,True,True,daily_product_panel,64,momentum_carry_interaction__missing,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
nonlinear_tightness__csz,55,nonlinear_tightness,same_date_cross_sectional_median_MAD_zscore_clip_5_missing_to_cross_sectional_median,factor_interaction,extension,极端供需紧张状态的平方增强,2016-01-12,0.2943859252774561,predictor,True,False,True,True,daily_product_panel,28,tightness_composite__csz,True,False,no_global_target_orthogonalization; use registered residual factors or fold-local regularization
